Tweet,Label
RT @Gizmodo: Wildfires raging through Northern California are terrifying https://t.co/dI73RFzX2i https://t.co/k4KnvIimsU,1
PHOTOS: Deadly wildfires rage in California https://t.co/td9xT3vXOL https://t.co/OimwAncLew,1
"RT @Cal_OES: PLS SHARE: Weâ€™re capturing wildfire response, recovery info here: https://t.co/r89LKpjLPj https://t.co/HiA1oQF2Ax",1
"RT @Cal_OES: PLS SHARE: Weâ€™re capturing wildfire response, recovery info here: https://t.co/r89LKpjLPj https://t.co/HiA1oQF2Ax",1
RT @TIME: California's raging wildfires as you've never seen them before https://t.co/OksQOZ2LHH https://t.co/oHTMbrM2Jx,1
Wildfires Threaten Californiaâ€™s First Legal Cannabis Harvest https://t.co/BSuAdfwN62 https://t.co/wNqfLrNmTp,1
Mass Evacuations in California as Wildfires Kill at Least 10 https://t.co/gyoKFWZuMB #CaliforniaWildfires https://t.co/KEFtjITetK,1
RT @KAKEnews: California wildfires destroy more than 50 structures: https://t.co/IkSrNpmT83 #KAKEnews https://t.co/8risKwbBqr,1
RT @KAKEnews: California wildfires destroy more than 50 structures: https://t.co/IkSrNpmT83 #KAKEnews https://t.co/8risKwbBqr,1
RT @KAKEnews: California wildfires destroy more than 50 structures: https://t.co/IkSrNpmT83 #KAKEnews https://t.co/8risKwbBqr,1
"RT @FoxNews: Southern California fire shrouds Disneyland Anaheim in dramatic, smoky skies https://t.co/nNxpY2kSmS https://t.co/6ripQFkIVh",1
California wildfire. á½¡4 https://t.co/a8oD5rkDdI,0
Wildfires Still Burn in Northern California; 11 Are Dead https://t.co/8rx6aoC5Ix #nyt https://t.co/UtY33zQTES,1
"Henry Cejudo suffers burns, loses gold medal in California wildfire â€” https://t.co/GkuLc60ZWl https://t.co/0gRZgSK4LU",1
At Least 11 Dead and 100 Missing as Wildfires Rage Across Northern California - Damage and death toll rises as ... https://t.co/r9xiSn2IcK,1
Southern California wildfires continue to rage as death toll rises to 11 https://t.co/idIRZsGZvX https://t.co/3zbQucj1UY,1
More than 100 missing persons reports made in CaliforniaÂ wildfires https://t.co/614UWl30MO https://t.co/CBuNhzQ5xf,1
"RT @News12BX: California wildfires kill 10, destroy 1,500 buildings https://t.co/cKLrLVtXMe https://t.co/o1CGcHS57o",1
RT @R5_Fire_News: California large wildfire activity for October 10 #cawildfires #cafires https://t.co/Z0wWjwv42s,1
"11 dead, thousands homeless as wildfires torch California wine country https://t.co/n4OrOaOgEV #Heatwave #Wildfires https://t.co/H1EmUrnzjF",1
Thousands flee as wildfires ravage northern California; 10 killed https://t.co/d3S3rVIQxV https://t.co/Y9UpznWXK0,1
#breakingnews #news Southern California Wildfire Remains Active - https://t.co/j2oqFz9qZD https://t.co/X4OTZgvTZl,1
A quick rundown of what you need to know about the harrowing California wildfires https://t.co/iUsphXwGJM https://t.co/AxtLl0fNO9,1
How to help Napa fire victims: 8 things you can do for Californiaâ€™s Wine Country right now https://t.co/bydGBffp3I https://t.co/UCS3FuRAWc,1
From #ScienceNow - Wildfires Running Amok in California https://t.co/En6FOYnFRz #NASA #wildfires https://t.co/POBCpjD5CT,1
On today's PNS newscast: deadly wildfires ravage Northern California. Listen now: https://t.co/wgmKAIWUiI https://t.co/BApQhkb51r,1
Save Mart Donating To #California Fire Victims https://t.co/RxWh4z76r3 #Bakersfield á½0 https://t.co/me9yzYd5Bq,1
I think Event: Wildfire has occurred in California Tue Oct 10 12:25:03 2017 CDT https://t.co/zAy18tH5mj,1
