Tweet,Label
"Puerto Rico Olympic Gold Medalist Monica Puig Delivers Supplies, Support to Island https://t.co/oyskOpzylq https://t.co/QC9V1sCpGA",1
"After a hurricane, there are still dangers, sometimes inside your own refrigerator. @USDAFoodSafety tips- #Maria https://t.co/1gYBGRtX6p",1
Inside @ASPCA Emergency Shelter for ὃEὃE animal victims of #HurricaneMaria https://t.co/41rhAyqX0x https://t.co/xjJhaSdAjV #cats #dogs #family,1
Postal Service Asks Employees to Volunteer to Relocate to Puerto Rico https://t.co/rHUCr0occ8 https://t.co/BkR1k760ey,1
Hurricane Maria hits Puerto Rico after slamming Dominica https://t.co/vSayZNlbPs https://t.co/Sa5FiNnFqU,1
"RT @CNN: Hurricane Maria ripped the roofs off these homes in San Juan, Puerto Rico https://t.co/VGpWK7tl7e https://t.co/jnt6nRhRXR",1
"RT @CNN: Hurricane Maria ripped the roofs off these homes in San Juan, Puerto Rico https://t.co/VGpWK7tl7e https://t.co/jnt6nRhRXR",1
"RT @CNN: Hurricane Maria ripped the roofs off these homes in San Juan, Puerto Rico https://t.co/VGpWK7tl7e https://t.co/jnt6nRhRXR",1
"RT @CNN: Hurricane Maria ripped the roofs off these homes in San Juan, Puerto Rico https://t.co/VGpWK7tl7e https://t.co/jnt6nRhRXR",1
PHOTOS: Hurricane Maria pummels the Caribbean https://t.co/5WFCc6TAlg https://t.co/y6tAxABqU6,1
RT @TsewolePanseh: Hurricane Maria blasts Puerto Rico with high winds and flooding https://t.co/2zK7qYYc8m https://t.co/TRiBxOhlBK,1
https://t.co/XP1uEFa9rI Thousands in shelters as Puerto Rico awaits direct hit from Hurricane Maria /r/news https://t.co/Dl0u1M9Q9F,1
Maria still a destructive Cat 4 hurricane over Puerto Rico. Update on track at noon! https://t.co/uzrVmwEqUd https://t.co/bqzot56zHF,1
Hurricane Maria makes landfall in Puerto Rico https://t.co/klAw4dOopO https://t.co/rj0jFq1gyA,1
NBC News Special Report: Hurricane Maria Makes Landfall | NBC News https://t.co/q4Do2JBn4I https://t.co/BjSVzeqoLQ,1
RT @NOAA: .@fema has a resource page for #Maria information and #safety tips. Go to https://t.co/43pEhsrtw3 https://t.co/6JVexpmZAl,1
"Photos show destruction, damage from Hurricane Maria https://t.co/VeK9i0TBFt https://t.co/fkBaDhjNUQ",1
FOX NEWS: Hurricane Mariaâ€™s path: Track the stormÂ here https://t.co/gqPH8eEJaR https://t.co/rJde1LqM18,1
RT @ForexLive: Hurricane Maria bears down on Puerto Rico as Category 4 storm https://t.co/q8d1QJpJvC https://t.co/iuyvH9fW6a,1
Hurricane Maria continues to cause devastation to Puerto Rico with 140 mph winds. https://t.co/tvt09BXXhJ https://t.co/wbVOBROJ0B,1
#news Hurricane Maria Impacting Travel in Caribbean https://t.co/qyTwTxP8sn https://t.co/t4YmApFF2v,0
RT @WCVB: Massachusetts Task Force heading to Puerto Rico due to Hurricane Maria https://t.co/Dc84NoFZti https://t.co/7R0s5w4xsL,1
Aerial footage shows devastation in #Dominica after #Hurricane #Maria – video https://t.co/PPgerfynt2 #twitter https://t.co/gxQXdd674N,1
MONSTER HURRICANE MARIA. https://t.co/NKn3dsf1ZV,1
Aerial Footage Of Dominica Captures The Destruction Of Hurricane Maria | NBC News https://t.co/6HLHzqFPPX https://t.co/Uk1XDA9jfa,1
hurricane maria just missed us... vlogging while we were home all day: https://t.co/2wE9afDLZm https://t.co/HNO4RiqVqP,0
"Puerto Rico is pummelled by Hurricane Maria, as flooding slowly drains from Martinique. https://t.co/gNft7rKPb9 https://t.co/TOTlJpTEbm",1
Client/member dashboard AM updates! Some thoughts on Hurricane #Maria for next week: https://t.co/SsZd41PJ29 https://t.co/nk1bUxuvBu,0
Here's a close up look at the forecast track of #Maria thru Friday. Staying a major hurricane. @wncn https://t.co/XQ5Hu9yrPg,1
RT @nytimes: Tracking Hurricane Maria's path https://t.co/4giGPuehRC https://t.co/tz7Voan81V,0
Hurricane Maria remains a severe threat 20 Sept 2017 07:51UTC https://t.co/z67pEkI4Vj https://t.co/lKd6PNF7YM,1
RT @verge: Hurricane Maria has already left 90 percent of Puerto Rico without power https://t.co/vLEbUvzaPq https://t.co/4rRWR1AIHi,1
RT @stormpulse: Major Hurricane #Maria continues to weaken. https://t.co/xpYDq6f87M https://t.co/lAHCr7YH3v,1
RT @UMDCSA: Dominica was hit hard from Hurricane Maria. Please keep them in your thoughts and prayers ὤFἿE἞9἟2 https://t.co/SpKYztnltV,1
RT @UMDCSA: Dominica was hit hard from Hurricane Maria. Please keep them in your thoughts and prayers ὤFἿE἞9἟2 https://t.co/SpKYztnltV,1
Hopefully the jet streams and the nearby hurricane will push Maria into the mid Atlantic Ocean. https://t.co/cGRRFqdxrO,1
RT @ABC7Alex: Here's a look at some reported wind gusts from Hurricane #Maria so far this morning @ABC7News https://t.co/5Osp55nvEo,1
"Hurricane Maria: Live updates | Depend On WOKV - Jacksonville's News, Weather, and Traffic https://t.co/zQju5FLa87 https://t.co/BbbVgy54DV",0
British Virgin Islands to face 155mph winds with Hurricane Maria https://t.co/9yDewcNvQk https://t.co/XZROcsVxOz,1
RT @WritersofColour: Hurricane Maria- PM of Dominica says 'we have lost all what money can buy and replace' https://t.co/cnpFL7Kvv4,1
At Least 9 Dead After ;Extremely Violent; Hurricane Maria Makes Landfall https://t.co/QqvfYUAGfM https://t.co/CwgfEI42RI,1
