Tweet,Label
RT @FCBarcelona: Our solidarity with the victims of the earthquake in Mexico https://t.co/4R52KTn7CB,0
Mexico earthquake: Many children killed at primary school https://t.co/h0uPkN13mH https://t.co/0vGA5lj758,1
Obamaâ€™s Response To The Earthquake In #MexicoCity Is What A Real #President #SoundsLike... https://t.co/5EFdMNUgWS https://t.co/ITx4uVwgxf,0
RT @AmichaiStein1: #BREAKING: Israel search &amp; rescue mission headed to Mexico after 7.1M earthquake https://t.co/lSd0e5ZVdx,1
RT @AmichaiStein1: #BREAKING: Israel search &amp; rescue mission headed to Mexico after 7.1M earthquake https://t.co/lSd0e5ZVdx,1
RT @AmichaiStein1: #BREAKING: Israel search &amp; rescue mission headed to Mexico after 7.1M earthquake https://t.co/lSd0e5ZVdx,1
"NEWS: At least 200 people, including 21 children, have died in Mexico after an earthquake hit the country. https://t.co/Wzp6DSKdTs",1
"RT @TravelLeisure: Deadly earthquake shakes Mexico City, causes buildings to crumble https://t.co/Ad7BYyR1b6 https://t.co/3Qu2wvMbWu",1
RT @Jentezen: We are praying for all the people in Mexico who are suffering from the earthquake. https://t.co/y55ZqWuOzX,1
RT @PaulKiarie_: 7.1 magnitude earthquake hits Mexico Central. 248 deaths so far. á½¢2 #FuerzaMexico #PrayForMexico https://t.co/aqLQ8TcvJJ,1
At least 49 dead as strong 7.1 magnitude earthquake hit MexicoÂ City https://t.co/6wECTRmUuA https://t.co/8BP2hQ5Ilq,1
RT @jorge_guajardo: Mexico City airport after today's earthquake. https://t.co/5UKQ54WLAz,1
"Earthquake causes widespread damage around Mexico City, kills at least 217 people - https://t.co/pJvRR9J9Mo https://t.co/Dj0Yv3K7ym via tâ€¦",1
(Vice):More Than 200 #Dead After #Earthquake Rocks Mexico City : The death toll is.. https://t.co/QxFQXCVt85 https://t.co/oq9U1LgP19,1
"RT @thehill: Obama sends ""big hug"" to Mexico after deadly earthquake https://t.co/KFfWLIgPH0 https://t.co/MIA6AOc8wy",0
".@Beyonce, @BarackObama, and @selenagomez are among those to offer kind words for Mexico. https://t.co/BYsAAYx9Mi https://t.co/voQElTGntm",1
#Mexico City Hit by 7.1 Earthquake - https://t.co/ZUcQaFKpkN https://t.co/d9NnYfu9Qc,1
RT @thedailybeast: Images from Mexico City's devastating earthquake https://t.co/r0XsVnmbZi https://t.co/C67tmHFIJe,1
NFL reviewing whether Mexico City game can go on after earthquake https://t.co/oGzlLeZbL8 #fantasyfootball https://t.co/NMWy5IlgSk,1
RT @BBGVisualData: Hushed Crews Listen for Survivors After Mexico Earthquake Toll Tops 200 https://t.co/skY2sAZoMT https://t.co/wDwMrlVp7y,1
#Rescuers search rubble as dawn breaks in Mexico City; earthquake toll hits 217 - https://t.co/9idfIxXr7N https://t.co/xP5raBAejH,1
Sending our thoughts and prayers out to Mexico. What a horrendous earthquake. @TheRealSambora @orianthi @RSOofficial https://t.co/B18hxlFmBz,1
Foreign Office issues warning following Mexico earthquake https://t.co/SIOmAG4gTh https://t.co/mB0NIvfQGp,1
(The human tragedy of Mexico's 1985 earthquake Video) #latest #news #followback - https://t.co/gqG0Zm1gDK https://t.co/yt3pY6cwSA,1
RT @leeunkrich: MEXICO EARTHQUAKE RELIEF: @topos PayPal donations: donativos@brigada-rescate-topos.org topos.mx https://t.co/YwXCLb69i3,1
RT @geogabout: Death toll rises to 226 as powerful earthquake topples buildings in Mexico https://t.co/JM00zkKOpr https://t.co/SCTl4qv8Wh,1
Prayers for the millions people affected by the powerful earthquake in Mexico. á½‰Aá¼Ÿ2á¼ŸDâ¤ï¸ #MexicoFuerte #MexicoCity https://t.co/oMvAvXiF1e,0
Mexico earthquake: Praise for those who raced to help others https://t.co/YzNx5JmTSR https://t.co/h0vYeSEyN0,0
.@LatinGRAMMYs suspend nominees announcement following Mexico earthquake https://t.co/Kix5M31n79 #LatinGRAMMY https://t.co/X63yaewRgI,1
RT @BIUK: This drone footage shows the devastation caused by the 7.1 magnitude earthquake in Mexico. https://t.co/zI9IbOXFPE,1
@DUALIPA #sismo earthquake in mexico https://t.co/uG4QOSmzOT,1
New Zealand shaken by large tremors just hours after Mexico City earthquake #D20 https://t.co/tEQitV3xAk https://t.co/3NaU8n1IIM,1
RT @realDailyWire: WATCH: Multiple Buildings Collapse During Earthquake In Mexico City https://t.co/f0okN3sYpG https://t.co/CtCptwerXN,1
RT @dwnews: Mexico earthquake update: More than 200 dead as numerous buildings collapse https://t.co/XbYxuaWGSS https://t.co/jB3rWk3fM9,1
RT @CNN: Photos show a magnitude-7.1 earthquake's destruction in central Mexico https://t.co/2MnQogvOvb https://t.co/YHxKdnalRx,1
RT @CNN: Photos show a magnitude-7.1 earthquake's destruction in central Mexico https://t.co/2MnQogvOvb https://t.co/YHxKdnalRx,1
RT @CNN: Photos show a magnitude-7.1 earthquake's destruction in central Mexico https://t.co/2MnQogvOvb https://t.co/YHxKdnalRx,1
RT @CNN: Photos show a magnitude-7.1 earthquake's destruction in central Mexico https://t.co/2MnQogvOvb https://t.co/YHxKdnalRx,1
"RT @theAGU: USGS ShakeMap of the M 7.1 earthquake 5km ENE of Raboso, Mexico. https://t.co/QjyEK2dWLk https://t.co/K0mxnyseMK",1
The Brief: An earthquake in Mexico has killed more than 200Â people https://t.co/vIdgMlszzD https://t.co/Z028k6cKUg,1
Deadly earthquake hits Mexico City My Deep condolences with the people of MEXICO. https://t.co/5ov8KKE4y4,1
Removing the jungle gym from elementary school where at least 22 students died in Mexico earthquake https://t.co/q4WTMFoQyk,1
Mexico: Dona a las victimas del Terremoto. Donate to the victims of theÂ Earthquake. https://t.co/SXfNngKE87 https://t.co/C3wdAzyt8S,1
"RT @MSN: Horror, desperation follow earthquake in Mexico City https://t.co/VeXCcfeIeZ https://t.co/6UNK0zdSCF",1
RT @ajplus: Mexico City sees major damages to buildings after a magnitude 7.1 earthquake. https://t.co/vLUXg96KNw,1
RT @ajplus: Mexico City sees major damages to buildings after a magnitude 7.1 earthquake. https://t.co/vLUXg96KNw,1
RT @ajplus: Mexico City sees major damages to buildings after a magnitude 7.1 earthquake. https://t.co/vLUXg96KNw,1
Terrifying visuals of #Mexico #earthquake stun the world | https://t.co/id4P48vVud https://t.co/TXQRZZimOS,1
21 kids among dead found in school after Mexico earthquake https://t.co/7mnv1THMbL https://t.co/HCITSEtjAa,1
Mexico earthquake building collapse: Rescue caught on video as children pulled from rubbleâ€¦ https://t.co/stlQsHAg7j https://t.co/GLBh0BZLaW,1
"Nissan evacuates Mexico City HQ, Cuernavaca plant after earthquake https://t.co/EjuenXBp9H #storystream #auto https://t.co/5QgBUPB67K",1
"RT @thedailybeast: Amid the rubble of Mexico's huge earthquake, there are many helping hands https://t.co/fB57xVPjW7 https://t.co/i7IAJ4sbaZ",1
"In a collapsed Mexico school, a community digs for signs of life https://t.co/KRoFY8uFL3 #SocialMedia https://t.co/mvQiyZr2IR",1
Mexico Combs The Rubble For Survivors After Earthquake Kills At Least 225 https://t.co/KudZhXORZu #SocialMedia https://t.co/Gtn7NAV2tk,1
Trump sent his condolences at Mexico after the earthquake https://t.co/1P6R84UMyN,1
Mexico reels following devastating earthquake https://t.co/62tXU8opb4 https://t.co/TVEAOzpR23,1
RT @ClevverTV: Fans fear for Shawn Mendes' safety after deadly #MexicoCityearthquake https://t.co/w2TuxjnOI0 https://t.co/YKxOk7XaAu,1
