Tweet,Label
RT @irane_Azad: #Iran #News #Us Foreign aid arrives in as Sri Lanka flood toll exceeds 200 https://t.co/9yRvhLhNSC https://t.co/6nVBpaKa92,1
#FloodSL They still need our help #Flood2017 #srilanka #FloodReliefLKA photo courtesy :Shehan Gunasekara https://t.co/SBh8rLpnhl,1
RT @IndiaToday: Death toll from Sri Lanka's worst flood since 2003 rises to 151 https://t.co/vL9JK5Vn2e https://t.co/T66G2Jidba,1
open our hands for them along with prayer. https://t.co/6biZvLkkNl https://t.co/ehvVVfziDv,0
#FloodSL Response: State vs. Private https://t.co/k1Dwek30kD https://t.co/zPhSej19pk,0
https://t.co/Z4mxTO7fpp Indian Navy carries out relief operations in flood-hit Sri Lanka https://t.co/VUbcpnUwfq,1
"Sri Lankaâ€™s flood survivors at risk of dengue, disease â€“ aid workers https://t.co/2P1zVDrOoH https://t.co/0GzvMdPwvq",1
Posted by Chathura Udeshka to SL Disaster Relief 1 hr Â· #floodsl #lka https://t.co/Q1eqsM1vdd,1
#FloodSL 200+ deaths reported due to floods and landslides in Sri Lanka #lka #HelpSriLanka https://t.co/QnbB8kFhZQ,1
RT @RansaraJey: This guy is building a phone charger with 40 charge ports for flood victims #FloodSL https://t.co/ggGxYm7S9d,1
Pak Navy continues Humanitarian Assistance and Disaster Relief Operations in Flood Stricken Sri Lanka. RESPECT https://t.co/LzDAR9i17Z,1
Pak Navy continues Humanitarian Assistance and Disaster Relief Operations in Flood Stricken Sri Lanka. RESPECT https://t.co/LzDAR9i17Z,1
Pak Navy continues Humanitarian Assistance and Disaster Relief Operations in Flood Stricken Sri Lanka. RESPECT https://t.co/LzDAR9i17Z,1
Pak Navy continues Humanitarian Assistance and Disaster Relief Operations in Flood Stricken Sri Lanka. RESPECT https://t.co/LzDAR9i17Z,1
"RT @DisastersChart: #Sentinel2 was used to map the #flood in Matara, #SriLanka, on 28 May: https://t.co/LCo1VVKgEZ https://t.co/f9o3enK8ka",1
"RT @DisastersChart: #Sentinel2 was used to map the #flood in Matara, #SriLanka, on 28 May: https://t.co/LCo1VVKgEZ https://t.co/f9o3enK8ka",1
"RT @DisastersChart: #Sentinel2 was used to map the #flood in Matara, #SriLanka, on 28 May: https://t.co/LCo1VVKgEZ https://t.co/f9o3enK8ka",1
RT @itzJambole: Southern Expressway Godagama interchange (Nilwala Gate) á½¡4á½¡4 #FloodSL #lka https://t.co/vTXwWZz85M,0
"RT @dmc_lk: Situation Report as at 0900hours #31May2017 #SLFloods2017 #FloodSL #lka #dmclk 629,742 people affected https://t.co/UC5K3aWb1K",1
RT @STcom: #SriLanka appeals for help as #floods cripple water supply https://t.co/cCHq3iXVqB https://t.co/Ptbd9u6Eub,1
RT @easytouchphoto: Sri Lanka flood victims pray for them https://t.co/v3UfOtjt0f,1
RT @Saptha: Please support #FloodSL #LKA #Deniyaya https://t.co/ShS7Cold2m,1
RT @shafiur: Misery in the #rohingya #refugee camps after Cyclone Mora. Walls and roofs blown away. #bangladesh https://t.co/QpA6DmNvyS,1
MR. BLACK X Ale Mora - Party People is OUT NOW!!! @RevealedRec @mr_black_music @djalemora á½’5á½’5á½’5 https://t.co/xnQeYaTZuc,0
Items needed for donation. #FloodSL #FloodReliefLKA Post as of 1/6 at 12:30 a.m. https://t.co/6CtNcFK077,1
"Everything is funny to us. We forget that, the cyclone #Mora was very much real for so many people. https://t.co/W686wmF9ad",0
Cyclone Mora adds to Rohingya's plight in Bangladesh https://t.co/WaIAhIDo4y https://t.co/aG3soF3a5N,1
